EBD,DMF,EI,LSI,AGE,HSAA,HFA,SRH,PHL,DV,UWHF,MUF,SD,ST,EPK,GEN,LSC,EDU,PAI,PSM,Y
2,4,2,2,40,3,3,3,2,2,3,2,2,3,3,1,200,9,8,0,2
2,5,2,2,68,3,3,3,2,2,3,2,2,3,0,1,120,3,1000,1,2
2,3,2,2,45,3,3,3,2,2,3,2,2,3,1,1,130,4,9,2,2
2,5,2,2,43,3,3,3,2,2,3,2,2,3,2,2,100,3,0,1,2
3,3,1,2,43,3,4,2,3,3,1,4,4,3,2,2,150,4,0,2,2
3,3,2,3,45,2,3,1,4,3,1,3,4,2,1,2,150,4,0,2,3
2,4,2,2,76,3,3,3,2,2,3,2,2,3,0,2,100,2,0,0,2
1,4,1,1,73,1,1,4,1,2,1,1,2,3,2,1,160,3,3,3,1
2,5,2,2,38,3,3,3,2,2,3,2,2,3,1,1,120,4,6,0,2
2,5,2,2,28,3,3,3,2,2,3,2,2,3,5,1,90,4,10,2,2
2,4,2,2,35,3,3,3,2,2,3,2,2,3,0,2,120,4,0,2,2
2,5,2,2,42,3,3,3,2,2,3,2,2,3,1,1,1000,4,30,4,2
1,5,1,1,65,1,3,4,1,1,5,2,3,2,1,2,120,3,0,1,1
1,5,2,1,61,2,4,5,2,2,5,1,1,3,1,1,70,4,1,2,1
1,5,1,1,53,4,4,5,1,1,3,1,1,2,2,2,200,4,1000,0,1
2,5,2,2,38,3,3,3,2,2,3,2,2,3,0,2,119,12,3,0,2
2,2,2,2,75,3,3,3,2,2,3,2,2,3,1,2,225,3,0,1,2
4,1,4,5,57,4,4,1,5,4,3,5,1,3,4,2,30,4,1,0,5
1,5,1,1,67,1,4,2,1,2,2,2,1,3,3,2,400,1,3,2,1
2,4,2,2,63,3,4,1,2,4,1,2,2,3,2,2,50,5,1,1,2
1,3,2,1,70,2,4,2,2,3,3,3,2,4,0,1,119,6,2,0,1
2,5,2,2,81,3,3,3,2,2,3,2,2,3,0,1,340,4,0,2,2
2,5,2,2,37,3,3,3,2,2,3,2,2,3,3,2,119,7,1000,2,2
1,5,1,1,70,3,2,5,1,1,2,2,2,4,2,1,120,9,10,3,1
2,4,2,2,54,3,3,3,2,2,3,2,2,3,1,2,136,4,6,2,2
1,5,2,1,68,4,4,2,1,4,3,1,3,3,0,2,60,7,5,0,2
2,4,2,2,46,3,3,3,2,2,3,2,2,3,1,2,100,4,1,0,2
2,2,2,2,75,3,3,3,2,2,3,2,2,3,0,2,60,1,0,1,2
2,4,2,2,71,3,3,3,2,2,3,2,2,3,4,2,100,2,0,0,2
2,4,2,2,67,3,3,3,2,2,3,2,2,3,1,2,350,3,2,2,2
3,3,2,2,62,2,3,2,4,2,2,1,2,3,0,2,360,1,2,0,3
2,3,2,2,68,3,3,3,2,2,3,2,2,3,1,1,119,4,0,0,2
2,4,2,2,62,3,3,3,2,2,3,2,2,3,0,2,72,9,3,0,2
2,4,2,2,79,3,3,3,2,2,3,2,2,3,0,1,143,4,7,0,2
1,5,2,1,43,1,3,2,1,3,3,1,3,4,2,1,144,4,5,-2,1
2,3,2,2,74,3,3,3,2,2,3,2,2,3,1,2,70,1,0,4,2
2,4,2,2,63,3,3,3,2,2,3,2,2,3,0,1,144,4,6,0,2
2,4,2,2,51,3,3,3,2,2,3,2,2,3,1,2,150,11,14,1,2
2,4,2,2,50,3,3,3,2,2,3,2,2,3,1,2,100,4,3,-1,2
2,4,2,2,81,3,3,3,2,2,3,2,2,3,-3,1,160,4,2,0,2
2,3,2,2,53,3,3,3,2,2,3,2,2,3,1,2,260,4,2,1,2
2,3,2,2,46,3,3,3,2,2,3,2,2,3,2,2,120,4,3,-1,2
2,5,2,2,53,3,3,3,2,2,3,2,2,3,-1,2,90,4,0,-4,2
2,5,2,2,79,3,3,3,2,2,3,2,2,3,0,1,75,3,2,-3,2
2,2,2,2,81,3,3,3,2,2,3,2,2,3,-2,2,119,3,0,-7,2
2,4,2,2,75,3,3,3,2,2,3,2,2,3,-1,2,274,4,1,0,2
1,3,2,1,40,4,4,4,1,2,5,2,3,3,3,2,130,4,6,2,3
2,4,2,2,60,3,3,3,2,2,3,2,2,3,0,2,119,4,0,-2,2
2,4,2,2,56,3,3,3,2,2,3,2,2,3,1,1,120,4,6,1,2
2,3,2,2,70,3,3,3,2,2,3,2,2,3,-3,1,130,4,2,0,2
2,5,2,2,78,3,3,3,2,2,3,2,2,3,0,1,100,1,0,0,2
2,5,2,1,43,3,3,2,1,3,2,1,2,3,2,2,110,7,5,2,1
2,3,2,2,63,4,4,2,2,2,3,2,3,1,0,2,200,1,0,3,2
4,2,2,3,88,4,1,1,1,4,5,1,4,1,0,1,90,12,8,0,4
2,3,2,2,28,3,3,3,2,2,3,2,2,3,3,1,85,10,10,1,2
2,4,2,2,60,3,3,3,2,2,3,2,2,3,0,2,200,4,2,0,2
2,4,2,2,50,3,3,3,2,2,3,2,2,3,0,1,260,3,8,0,2
2,5,2,2,67,3,3,3,2,2,3,2,2,3,0,1,75,1,25,1,2
1,5,2,1,52,4,4,2,3,2,4,3,2,3,1,1,120,4,3,1,3
1,1,1,5,78,4,4,5,5,5,5,1,4,4,0,1,119,3,2,0,1
